age,Medu,Fedu,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,sex_M,address_U,famsize_LE3,Pstatus_T,nursery,plans_university,past_failures,attandence,support
18,1,2,2,1,4,1,4.0,5.0,5.0,1,1,1,1,1,0,1,0,0.875,-1
19,1,1,3,3,1,5,5.0,4.0,3.0,5,0,1,0,1,1,-1,0,0.75,-1
18,3,4,2,2,4,2,5.0,3.0,4.0,1,1,0,1,0,1,1,0,0.625,-1
16,4,4,1,2,5,3,2.0,1.0,3.0,2,1,0,1,0,1,1,0,0.8125,-1
18,4,4,1,2,3,2,4.0,1.0,4.0,2,1,1,0,1,0,1,0,0.84375,-1
17,3,2,1,1,5,5,5.0,2.0,4.0,5,1,1,0,1,1,1,3,0.875,-1
15,3,1,2,4,4,4,2.0,2.0,3.0,3,0,0,1,1,0,1,0,0.9375,-1
19,2,3,1,1,4,4,4.0,1.0,1.0,2,0,1,0,1,1,-1,1,0.8125,-1
1987,3,2,1,1,5,3,4.0,2.0,2.0,5,1,0,0,1,0,1,0,1.0,-1
17,1,1,2,1,4,5,5.0,1.0,3.0,2,1,0,0,1,0,1,0,1.0,-1
15,2,2,3,4,5,4,5.0,2.0,3.0,5,1,1,1,0,1,1,0,1.0,-1
18,2,1,4,2,4,3,2.0,4.0,5.0,3,1,1,1,1,1,1,0,0.75,1
18,1,1,2,3,5,3,2.0,1.0,2.0,4,0,1,1,1,1,1,0,0.9375,-1
16,2,2,2,4,5,3,5.0,1.0,1.0,5,0,0,0,1,0,1,0,1.0,-1
18,4,3,1,3,4,3,4.0,1.0,1.0,5,0,1,0,1,1,1,0,0.8125,-1
18,2,1,1,2,4,3,4.0,1.0,3.0,5,0,1,1,0,0,1,0,0.9375,-1
17,3,2,1,2,5,4,2.0,1.0,1.0,3,0,1,0,1,1,1,0,0.9375,-1
15,4,3,2,4,2,2,2.0,1.0,1.0,3,1,1,0,1,1,1,0,0.875,1
17,2,2,2,2,4,3,5.0,1.0,2.0,4,0,0,0,1,1,1,0,0.8125,-1
16,4,3,1,2,3,4,3.0,2.0,3.0,3,1,1,0,1,1,1,0,1.0,-1
19,3,3,1,2,4,3,5.0,3.0,3.0,5,0,1,0,1,1,1,0,0.875,-1
16,1,2,2,1,5,4,5.0,1.0,4.0,2,0,0,1,1,1,1,0,0.5,-1
16,0,2,2,1,3,2,3.0,1.0,2.0,2,0,0,0,1,1,1,0,1.0,-1
16,3,2,1,1,5,4,3.0,1.0,1.0,5,1,1,0,1,0,1,0,1.0,-1
15,3,3,2,1,4,1,3.0,1.0,1.0,4,0,0,0,1,0,1,0,0.875,-1
15,3,4,1,1,3,4,3.0,1.0,2.0,4,1,1,0,1,1,1,0,1.0,-1
15,2,2,1,4,5,1,2.0,1.0,1.0,3,0,1,0,1,1,1,0,0.9375,1
15,2,1,3,3,5,2,2.0,1.0,1.0,4,0,1,0,1,1,1,0,0.875,-1
17,1,1,1,2,4,3,3.0,1.0,2.0,4,1,1,0,1,0,1,0,1.0,-1
18,4,3,1,2,3,1,3.0,1.0,3.0,2,0,1,0,1,1,1,0,1.0,-1
16,1,1,1,1,3,4,4.0,3.0,3.0,1,0,1,1,1,1,1,0,0.9375,-1
16,1,2,1,3,1,3,2.0,1.0,2.0,4,0,1,0,1,1,1,1,0.875,-1
16,2,2,1,2,5,1,5.0,1.0,1.0,4,0,1,0,1,0,1,0,1.0,-1
16,4,2,2,2,5,3,3.0,1.0,1.0,1,0,1,0,1,1,1,0,1.0,-1
18,4,4,1,2,2,4,4.0,1.0,1.0,4,0,1,0,1,1,1,1,0.9375,1
16,1,1,4,3,4,4,3.0,1.0,1.0,5,0,0,0,1,1,1,0,0.9375,1
17,2,2,1,1,4,5,3.0,1.0,1.0,5,0,1,0,1,1,-1,0,0.9375,-1
17,1,1,3,1,5,2,1.0,1.0,2.0,1,0,0,0,1,1,1,1,0.875,-1
17,1,3,2,1,5,1,2.0,3.0,3.0,5,1,0,1,1,1,1,0,1.0,-1
18,1,1,2,1,4,4,3.0,3.0,4.0,4,1,0,0,1,1,-1,1,0.9375,-1
17,4,3,2,2,2,5,5.0,1.0,4.0,5,1,1,1,1,1,1,0,1.0,-1
17,2,2,2,1,4,4,4.0,2.0,3.0,4,1,1,0,1,1,-1,0,0.75,-1
17,2,1,2,2,5,3,3.0,1.0,2.0,2,0,0,1,0,1,1,0,0.75,-1
18,4,3,2,1,3,2,4.0,1.0,4.0,1,0,1,1,1,1,1,0,0.84375,-1
16,4,3,1,3,5,3,5.0,1.0,1.0,3,0,1,0,1,1,1,0,0.75,1
16,3,3,2,2,4,4,5.0,1.0,1.0,4,0,1,1,1,1,1,0,0.9375,-1
19,3,2,1,1,4,5,4.0,1.0,1.0,4,1,1,0,1,1,-1,0,1.0,-1
17,4,4,1,2,5,2,5.0,1.0,1.0,5,0,1,0,1,1,1,0,0.8125,-1
16,4,2,10,2,4,2,3.0,1.0,1.0,3,0,1,0,1,1,1,0,1.0,-1
1988,4,4,2,2,4,3,5.0,1.0,2.0,1,0,1,0,1,0,1,0,1.0,-1
17,2,3,1,2,5,3,3.0,1.0,3.0,3,1,1,1,1,0,1,0,1.0,-1
18,2,2,1,3,4,3,3.0,1.0,2.0,2,0,1,0,1,1,1,0,1.0,-1
16,3,1,2,4,4,3,2.0,1.0,1.0,5,1,1,0,1,1,1,0,1.0,-1
1989,4,4,1,1,4,2,1.0,1.0,1.0,4,0,1,0,1,1,1,0,0.9375,1
16,1,1,1,4,2,2,1.0,1.0,1.0,5,0,1,0,1,1,1,0,1.0,1
18,4,4,2,3,4,2,2.0,2.0,2.0,5,1,1,1,1,1,1,0,1.0,-1
17,3,3,1,1,4,4,3.0,1.0,3.0,5,1,1,0,1,1,1,0,1.0,-1
17,2,4,1,3,4,4,3.0,1.0,1.0,5,0,0,0,1,1,1,0,1.0,-1
16,3,2,1,1,3,1,3.0,1.0,4.0,3,0,1,0,1,1,1,0,1.0,-1
17,0,2,2,3,3,3,3.0,2.0,3.0,2,0,1,1,1,1,1,0,0.9375,-1
17,3,3,2,4,5,4,5.0,3.0,4.0,5,1,1,0,1,1,1,1,1.0,-1
16,4,2,1,2,4,5,1.0,1.0,3.0,5,1,1,1,1,1,1,0,1.0,-1
18,4,4,3,1,4,4,3.0,2.0,2.0,5,0,0,0,1,1,1,0,1.0,-1
18,3,3,1,2,3,2,4.0,2.0,4.0,4,1,1,1,1,1,1,0,0.875,-1
16,2,2,1,1,4,2,5.0,1.0,2.0,5,0,1,0,1,1,1,0,0.6875,-1
15,4,3,1,1,4,5,5.0,1.0,3.0,1,0,1,0,1,1,1,0,1.0,-1
17,1,1,2,1,4,4,4.0,1.0,2.0,5,1,1,1,1,1,1,1,0.8125,-1
16,1,2,2,2,4,3,3.0,1.0,2.0,5,1,0,0,1,1,1,0,1.0,-1
16,4,3,1,2,1,3,2.0,1.0,1.0,1,0,1,0,1,1,1,0,1.0,-1
17,3,2,1,2,4,3,2.0,2.0,3.0,2,0,1,0,1,1,1,0,0.875,-1
15,4,2,1,3,5,3,3.0,1.0,3.0,1,0,1,0,1,1,1,0,1.0,-1
18,4,4,1,1,1,4,2.0,2.0,2.0,1,1,1,1,1,1,1,0,0.875,-1
16,4,4,1,2,4,4,5.0,5.0,5.0,5,1,1,0,1,1,1,0,1.0,-1
18,2,2,1,2,2,3,3.0,1.0,2.0,4,0,0,1,1,1,1,1,0.875,-1
17,4,4,1,1,5,2,3.0,1.0,2.0,5,1,1,0,1,1,1,0,0.90625,-1
15,2,1,1,2,5,4,2.0,1.0,1.0,5,1,0,0,1,1,1,0,0.875,-1
17,2,2,1,2,4,4,2.0,5.0,5.0,4,1,1,1,1,0,1,0,0.875,-1
18,2,2,2,2,4,3,5.0,1.0,1.0,1,0,1,0,1,0,1,0,1.0,-1
15,3,2,2,2,4,3,5.0,1.0,1.0,2,0,1,0,1,1,1,0,0.9375,1
15,4,3,1,2,4,3,2.0,1.0,1.0,1,0,1,0,0,1,1,0,0.5,-1
18,3,2,2,1,2,5,5.0,5.0,5.0,5,1,0,0,1,0,1,0,1.0,-1
17,2,2,1,2,4,2,2.0,1.0,1.0,3,0,1,0,1,1,1,0,0.75,-1
16,2,1,1,1,4,4,4.0,3.0,5.0,5,1,1,1,1,1,1,1,0.875,-1
18,1,1,3,2,3,4,4.0,2.0,2.0,5,0,1,0,1,1,1,2,0.8125,-1
16,2,1,1,2,4,2,3.0,1.0,2.0,5,1,1,1,1,1,1,0,0.90625,-1
18,2,2,1,1,4,3,5.0,2.0,4.0,5,0,1,0,1,1,1,0,1.0,-1
18,4,4,2,3,5,4,4.0,1.0,1.0,1,0,0,1,1,1,1,0,0.9375,-1
16,3,2,1,2,1,2,2.0,1.0,2.0,1,0,1,0,1,1,1,0,1.0,-1
19,1,1,2,2,4,3,3.0,1.0,1.0,3,0,0,0,1,1,1,1,0.75,-1
16,4,4,1,3,5,4,5.0,1.0,1.0,4,0,1,1,1,1,1,0,0.875,-1
20,1,0,2,1,5,3,1.0,1.0,1.0,5,0,1,0,1,1,1,1,0.9375,1
17,1,1,2,3,4,3,3.0,1.0,1.0,1,1,0,0,1,0,1,0,0.84375,-1
18,1,1,4,3,4,3,2.0,1.0,2.0,4,0,0,0,1,1,1,0,0.9375,-1
15,3,3,1,1,5,3,4.0,4.0,4.0,1,0,1,1,0,1,1,0,0.875,-1
16,2,1,2,1,2,4,3.0,2.0,3.0,4,1,1,1,1,1,1,0,1.0,-1
18,2,2,2,2,4,1,4.0,1.0,3.0,4,0,1,1,0,1,1,0,0.875,-1
16,3,4,3,2,4,2,1.0,1.0,1.0,2,0,0,1,1,0,1,0,0.6875,-1
15,4,4,1,1,5,4,2.0,1.0,1.0,5,1,1,0,1,1,1,0,0.9375,-1
18,1,2,2,2,4,1,1.0,1.0,1.0,4,0,1,0,1,1,-1,0,1.0,-1
18,1,3,1,1,4,3,3.0,2.0,3.0,3,1,1,1,1,1,-1,0,1.0,-1
17,4,3,1,2,3,2,3.0,1.0,2.0,3,0,1,1,1,1,1,0,1.0,-1
19,2,1,1,1,5,3,4.0,1.0,4.0,4,1,1,0,1,1,1,0,1.0,-1
18,3,2,1,3,4,3,4.0,1.0,2.0,2,0,1,0,1,1,1,0,0.6875,-1
15,4,4,1,2,5,4,2.0,3.0,4.0,5,1,1,0,1,0,1,0,0.84375,-1
15,4,3,1,2,4,4,1.0,1.0,1.0,1,1,1,0,1,1,1,0,1.0,-1
15,4,4,1,1,5,4,3.0,2.0,4.0,5,1,1,1,1,0,1,0,1.0,-1
17,3,4,3,2,5,4,5.0,2.0,4.0,5,1,0,0,1,1,1,0,0.75,-1
16,1,1,4,2,5,1,3.0,1.0,1.0,3,0,0,0,1,1,1,0,0.9375,-1
17,3,3,1,3,3,2,3.0,1.0,1.0,4,0,1,0,1,0,1,0,1.0,-1
16,4,4,1,2,4,4,2.0,1.0,1.0,3,0,1,0,1,1,1,0,0.9375,-1
16,2,2,1,1,1,2,2.0,1.0,3.0,5,0,1,0,1,0,1,0,1.0,-1
16,4,4,2,1,5,1,3.0,1.0,2.0,5,0,1,1,1,1,1,0,0.8125,-1
15,4,2,1,4,3,3,3.0,1.0,1.0,3,1,1,0,1,1,1,0,0.96875,-1
18,2,1,2,3,4,4,4.0,1.0,1.0,3,0,1,0,1,0,1,0,1.0,-1
17,4,4,2,1,4,2,4.0,2.0,3.0,2,0,1,0,1,1,1,1,0.6875,-1
19,1,1,2,1,5,5,5.0,2.0,3.0,2,0,1,0,1,1,-1,1,0.0625,-1
19,4,4,1,1,3,2,5.0,4.0,4.0,5,0,1,0,1,1,1,1,1.0,-1
17,2,2,1,2,5,4,5.0,1.0,2.0,5,0,1,0,1,0,1,0,0.84375,-1
15,4,4,1,2,3,2,2.0,1.0,1.0,5,1,1,0,1,1,1,0,0.625,-1
18,4,4,1,1,5,4,5.0,1.0,2.0,5,1,1,1,1,1,1,0,0.75,-1
15,4,4,4,4,1,3,5.0,3.0,5.0,1,1,0,0,1,1,1,0,0.90625,-1
17,1,1,2,1,3,5,5.0,2.0,2.0,4,0,0,0,1,1,-1,0,0.75,-1
18,2,2,2,2,3,3,3.0,5.0,5.0,4,1,1,0,1,1,1,3,0.90625,-1
16,1,1,2,2,3,4,3.0,1.0,1.0,1,0,0,0,1,1,1,3,0.71875,1
17,3,2,2,1,4,5,2.0,1.0,1.0,2,1,1,0,1,0,-1,3,1.0,-1
17,1,1,1,3,4,3,3.0,1.0,1.0,3,0,1,1,1,1,1,0,0.6875,-1
18,1,1,2,2,2,3,5.0,1.0,4.0,3,0,1,1,1,1,1,0,1.0,1
18,4,2,1,2,4,2,2.0,1.0,1.0,3,0,1,1,1,1,1,0,0.75,-1
16,4,4,1,3,5,3,2.0,1.0,1.0,5,0,1,0,1,0,1,0,1.0,-1
16,4,4,1,1,3,4,4.0,1.0,4.0,5,1,1,0,1,1,1,0,0.875,-1
15,1,1,2,1,4,4,3.0,1.0,2.0,2,0,0,1,1,1,1,1,0.875,-1
16,2,2,4,3,5,1,3.0,2.0,2.0,3,1,1,1,1,1,1,0,0.875,-1
17,1,1,1,2,4,3,2.0,1.0,1.0,4,0,1,0,1,0,1,0,1.0,1
18,2,3,1,3,4,3,3.0,1.0,2.0,3,0,1,0,1,1,1,0,0.6875,-1
17,2,2,1,1,3,1,2.0,1.0,1.0,1,0,1,1,0,0,-1,1,1.0,-1
17,1,1,1,2,4,5,5.0,1.0,2.0,3,0,1,0,0,1,1,0,0.75,-1
17,2,4,1,2,5,4,2.0,2.0,3.0,5,0,1,0,1,1,1,0,0.9375,-1
17,3,3,1,2,4,3,4.0,1.0,4.0,4,1,1,0,1,0,1,0,1.0,-1
19,2,2,1,2,4,3,3.0,1.0,1.0,5,0,1,0,1,1,1,0,0.875,-1
19,2,3,1,3,5,4,2.0,1.0,2.0,5,0,0,0,1,0,1,1,1.0,-1
16,1,2,1,1,3,3,3.0,1.0,2.0,3,1,1,0,1,1,1,0,0.875,-1
15,3,3,1,2,5,3,2.0,1.0,1.0,2,1,1,1,1,0,1,0,1.0,-1
17,4,2,1,2,4,3,2.0,1.0,1.0,4,0,1,1,0,1,1,0,1.0,-1
17,4,4,2,3,5,3,4.0,1.0,1.0,5,0,0,0,1,1,1,0,0.875,-1
17,1,1,1,2,5,3,3.0,1.0,1.0,3,0,1,0,1,0,1,0,1.0,-1
16,0,2,1,1,4,3,2.0,2.0,4.0,5,1,1,0,1,0,1,0,0.9375,-1
19,2,1,2,1,4,4,3.0,1.0,3.0,5,1,1,0,1,0,-1,3,1.0,-1
18,2,2,1,3,4,3,3.0,1.0,1.0,3,0,1,0,1,1,1,0,0.875,-1
17,1,2,1,1,5,5,5.0,5.0,5.0,3,1,0,1,1,1,1,0,1.0,-1
17,2,2,1,1,3,4,4.0,1.0,3.0,5,0,1,1,1,1,1,0,0.875,-1
17,3,2,1,4,5,2,2.0,1.0,2.0,5,0,1,0,1,0,1,0,0.9375,-1
17,3,1,1,3,3,4,3.0,2.0,3.0,5,0,1,0,1,0,1,0,1.0,-1
16,3,1,1,1,3,1,3.0,1.0,3.0,1,0,1,0,1,1,1,0,1.0,-1
19,1,1,1,3,5,3,1.0,1.0,1.0,3,0,1,0,1,1,-1,1,1.0,-1
16,2,2,3,2,5,3,4.0,1.0,1.0,2,0,0,0,1,1,1,0,0.8125,-1
17,4,4,2,3,4,3,3.0,1.0,2.0,4,0,1,0,1,0,1,0,0.96875,-1
17,2,2,1,2,3,3,1.0,1.0,2.0,4,0,1,0,0,1,1,0,0.875,-1
17,4,2,1,4,4,2,3.0,1.0,1.0,4,0,1,1,1,1,1,0,0.4375,-1
17,2,1,3,2,2,1,1.0,1.0,1.0,3,0,0,0,1,1,1,0,0.9375,-1
16,4,4,1,1,5,3,4.0,1.0,2.0,1,0,1,0,1,0,1,0,0.9375,-1
18,4,4,2,2,4,3,4.0,1.0,1.0,3,0,1,0,0,1,1,0,0.875,1
15,4,4,1,2,4,4,4.0,1.0,1.0,3,0,1,0,1,0,1,0,0.875,1
17,2,2,3,3,4,2,3.0,1.0,1.0,1,0,1,0,1,1,1,0,0.9375,-1
16,1,1,2,1,4,3,2.0,1.0,4.0,5,0,1,0,1,1,1,0,0.75,-1
17,4,3,1,2,5,2,3.0,1.0,1.0,2,1,1,0,1,1,1,0,0.9375,-1
17,2,3,2,1,5,5,5.0,1.0,3.0,3,0,0,0,1,1,1,0,0.875,-1
15,4,2,1,1,3,5,2.0,1.0,1.0,3,1,1,1,1,1,1,0,0.9375,-1
16,3,1,1,2,3,3,3.0,2.0,3.0,2,0,1,1,1,1,1,0,0.6875,1
19,1,1,1,2,4,4,3.0,3.0,4.0,4,1,1,0,1,1,-1,2,1.0,-1
16,1,1,1,1,4,4,4.0,2.0,2.0,4,0,0,1,1,1,1,0,0.9375,-1
18,1,4,1,2,3,4,4.0,1.0,2.0,5,0,1,0,1,0,1,0,0.9375,1
16,4,3,1,3,3,4,4.0,2.0,4.0,4,0,1,0,1,1,1,0,0.9375,1
16,1,2,1,3,4,4,3.0,1.0,1.0,5,1,1,0,0,1,1,0,1.0,1
18,2,2,2,2,1,3,1.0,1.0,1.0,2,0,1,0,1,0,1,0,1.0,-1
17,1,2,1,1,5,3,5.0,5.0,5.0,1,1,1,0,1,1,-1,1,0.875,-1
18,3,2,1,3,4,3,3.0,5.0,1.0,5,0,1,0,0,0,1,0,0.625,-1
16,4,4,1,2,2,4,4.0,2.0,3.0,4,0,0,0,1,1,1,0,0.6875,-1
15,4,2,2,1,5,5,5.0,3.0,4.0,5,1,1,1,0,1,1,0,1.0,-1
18,2,1,1,2,5,2,4.0,1.0,2.0,4,1,1,0,1,1,1,0,0.875,-1
18,3,3,1,2,5,3,4.0,1.0,1.0,4,0,1,0,1,1,1,0,0.9375,-1
17,2,1,1,2,4,2,3.0,2.0,2.0,2,0,1,1,1,1,1,0,0.75,-1
15,4,4,1,2,3,3,3.0,1.0,2.0,2,0,1,0,1,1,1,0,0.9375,-1
17,4,2,1,3,4,3,4.0,1.0,3.0,5,0,0,0,1,1,1,0,0.9375,-1
15,2,3,1,2,4,4,4.0,1.0,1.0,1,1,0,0,1,1,1,0,0.9375,1
17,4,1,1,1,3,2,2.0,1.0,1.0,5,0,1,0,1,1,1,0,1.0,-1
15,4,3,2,2,5,4,3.0,1.0,2.0,3,1,1,0,1,1,1,0,1.0,-1
18,1,1,1,2,4,3,2.0,1.0,1.0,5,0,0,0,1,1,1,1,1.0,-1
16,4,3,1,1,3,1,3.0,1.0,3.0,5,1,1,1,1,1,1,0,0.71875,-1
17,4,4,2,2,4,1,4.0,1.0,1.0,1,0,1,0,0,1,1,0,0.8125,1
16,2,3,1,2,2,3,1.0,1.0,1.0,3,0,1,0,1,1,1,0,0.9375,1
15,4,2,1,3,3,2,2.0,1.0,1.0,5,0,1,0,1,1,1,0,1.0,-1
18,2,1,1,2,5,4,5.0,1.0,3.0,5,0,1,0,1,1,-1,3,1.0,-1
16,2,2,2,2,3,3,3.0,1.0,2.0,3,0,1,1,1,0,1,0,0.6875,-1
16,1,1,2,1,4,2,2.0,4.0,3.0,2,0,0,0,1,1,1,0,0.5,-1
16,4,4,1,1,5,3,2.0,1.0,2.0,5,1,1,0,1,1,1,0,1.0,-1
15,2,2,2,2,5,3,3.0,1.0,3.0,4,1,1,1,1,1,1,0,0.875,-1
18,4,4,1,3,4,3,3.0,2.0,2.0,3,1,1,0,1,1,1,0,0.9375,-1
17,4,4,1,2,5,3,1.0,1.0,4.0,5,0,1,0,1,1,1,0,1.0,-1
16,4,3,1,1,5,4,5.0,1.0,1.0,3,1,1,1,1,0,1,0,0.9375,-1
15,3,2,1,2,4,4,4.0,1.0,1.0,5,0,1,1,1,1,1,0,0.78125,-1
17,3,3,1,1,4,1,4.0,5.0,5.0,3,1,1,0,1,1,1,0,0.875,-1
15,4,2,1,2,4,3,3.0,2.0,2.0,5,1,1,0,1,1,1,0,0.75,-1
18,3,3,1,2,4,1,3.0,1.0,2.0,1,0,1,0,1,1,1,0,0.875,-1
16,2,1,1,1,5,4,3.0,1.0,1.0,5,0,0,1,1,1,1,0,0.96875,-1
18,1,1,2,2,1,1,1.0,1.0,1.0,5,0,1,0,1,1,1,0,0.9375,-1
16,2,2,1,2,5,4,3.0,1.0,1.0,1,0,0,1,1,1,1,0,0.8125,-1
15,3,4,4,2,5,3,3.0,1.0,1.0,5,1,0,0,1,1,1,0,1.0,-1
15,2,1,1,1,4,3,3.0,1.0,2.0,5,1,1,1,0,1,1,0,0.9375,-1
18,1,1,2,2,4,4,3.0,1.0,1.0,3,0,1,1,1,0,1,0,0.65625,-1
16,2,2,1,2,3,1,2.0,1.0,1.0,5,0,1,0,1,1,1,1,0.9375,1
17,2,1,2,1,3,3,2.0,2.0,2.0,5,1,0,1,1,1,-1,1,0.625,-1
16,1,2,1,2,4,4,3.0,1.0,1.0,1,0,1,1,1,1,1,0,0.75,1
18,4,4,2,2,4,3,4.0,1.0,2.0,4,0,0,0,1,1,1,0,1.0,-1
16,2,2,2,1,5,4,3.0,2.0,4.0,4,1,0,0,1,1,1,0,0.75,-1
17,4,4,3,1,3,3,3.0,1.0,3.0,5,1,0,0,1,1,1,3,0.8125,-1
16,4,3,1,4,4,2,2.0,1.0,1.0,2,1,1,0,1,1,1,0,0.9375,-1
18,2,2,1,2,4,4,4.0,1.0,3.0,3,1,1,1,1,0,-1,0,0.9375,-1
16,4,1,1,1,4,1,2.0,2.0,1.0,2,1,0,1,1,1,1,0,0.65625,-1
15,2,1,1,2,4,4,2.0,3.0,3.0,2,0,1,0,1,0,1,0,1.0,1
16,3,3,3,1,3,3,4.0,3.0,5.0,3,1,0,1,1,1,1,0,1.0,-1
17,4,3,1,2,3,4,5.0,2.0,4.0,1,0,1,0,1,1,1,0,0.5,-1
16,4,4,2,3,5,3,5.0,1.0,4.0,5,0,1,0,1,1,1,0,0.5,-1
18,3,1,1,2,4,3,4.0,1.0,1.0,1,0,1,1,1,1,1,0,0.96875,-1
19,1,1,1,1,1,4,4.0,1.0,1.0,5,0,1,1,0,1,-1,0,0.875,-1
17,2,2,2,2,5,1,3.0,1.0,1.0,5,0,0,0,1,1,1,0,1.0,1
17,2,4,2,2,4,3,3.0,1.0,1.0,1,0,1,0,1,1,1,0,1.0,-1
15,4,2,1,2,4,3,3.0,1.0,1.0,5,0,1,1,1,1,1,0,0.8125,-1
18,4,2,1,2,5,4,5.0,1.0,3.0,5,1,1,0,1,1,1,0,1.0,-1
18,1,2,25,2,4,3,3.0,1.0,1.0,5,0,1,0,0,1,1,2,0.875,-1
18,3,3,1,2,5,3,4.0,1.0,1.0,5,0,1,0,1,1,1,0,0.9375,-1
18,4,4,1,2,4,3,3.0,2.0,2.0,2,1,1,0,1,1,1,0,1.0,-1
17,1,1,1,3,4,3,4.0,1.0,1.0,5,0,1,0,1,1,1,0,1.0,-1
16,4,2,1,2,4,2,3.0,1.0,1.0,5,0,1,0,1,1,1,0,0.625,-1
17,3,2,1,1,4,4,4.0,3.0,4.0,3,1,1,1,0,1,1,0,0.9375,-1
18,2,1,2,2,5,3,3.0,1.0,2.0,1,0,1,0,1,1,1,0,0.4375,-1
15,3,2,1,2,3,3,2.0,1.0,1.0,3,0,1,0,1,1,1,1,0.9375,-1
18,1,1,2,2,5,4,4.0,1.0,1.0,4,0,1,0,1,1,1,0,0.9375,1
17,2,2,3,4,1,3,5.0,3.0,5.0,3,1,0,1,1,1,1,1,1.0,-1
15,3,3,2,1,4,3,3.0,2.0,4.0,3,1,1,0,1,0,1,0,0.9375,-1
17,3,2,2,2,1,2,3.0,1.0,2.0,5,0,1,1,0,1,1,0,0.65625,-1
16,1,1,4,1,5,5,5.0,5.0,5.0,5,0,1,0,1,0,1,0,1.0,1
15,3,3,1,2,1,3,2.0,2.0,3.0,1,0,1,0,0,0,1,0,1.0,-1
16,2,2,2,2,4,4,4.0,1.0,1.0,5,0,0,0,1,1,1,0,0.25,-1
17,3,1,2,4,3,1,2.0,1.0,1.0,3,0,0,1,1,1,1,0,1.0,-1
16,2,2,2,2,4,4,2.0,1.0,1.0,3,1,1,0,1,0,1,0,1.0,-1
15,4,4,1,1,5,3,3.0,1.0,1.0,5,1,1,0,1,0,1,0,0.8125,-1
17,1,1,1,2,5,3,3.0,1.0,1.0,3,0,1,0,1,1,1,0,0.9375,-1
16,2,2,1,3,4,3,3.0,2.0,2.0,5,0,0,1,1,0,1,0,1.0,-1
18,1,1,3,2,4,4,2.0,1.0,2.0,2,0,1,0,1,1,-1,1,0.9375,-1
18,2,1,1,2,4,2,5.0,1.0,2.0,1,0,1,0,1,1,1,0,0.9375,-1
18,2,2,2,3,5,3,3.0,1.0,3.0,4,0,0,0,1,1,1,0,0.75,-1
15,4,3,1,3,5,4,3.0,1.0,1.0,4,1,1,1,1,1,1,0,1.0,-1
18,1,1,2,1,3,3,2.0,1.0,2.0,3,1,1,1,1,0,1,0,1.0,-1
18,2,1,1,1,3,2,5.0,2.0,5.0,5,1,1,0,1,0,-1,2,0.9375,-1
17,4,3,1,2,5,2,2.0,1.0,2.0,5,0,1,0,0,1,1,0,0.875,-1
16,4,4,1,1,4,4,4.0,1.0,2.0,2,0,1,0,1,1,1,0,0.5625,-1
18,1,1,2,4,5,2,2.0,1.0,1.0,3,0,0,1,1,1,1,0,0.8125,-1
16,4,4,1,3,5,3,3.0,1.0,3.0,5,1,1,0,1,1,1,0,0.9375,-1
